Individus,Cas SNIF,IICR,Taille,M,Echantillon,Omega,n_inf,M_inf,N0_inf
432,87,29,1x5,5,11,1,,,
433,87,29,1x5,5,11,1,,,
434,87,29,1x5,5,11,1,,,
435,87,29,1x5,5,11,1,,,
436,88,30,1x5,5,12,0.3,,,
437,88,30,1x5,5,12,0.3,,,
438,88,30,1x5,5,12,0.3,,,
439,88,30,1x5,5,12,0.3,,,
440,88,30,1x5,5,12,0.3,,,
441,89,30,1x5,5,12,0.5,,,
442,89,30,1x5,5,12,0.5,,,
443,89,30,1x5,5,12,0.5,,,
444,89,30,1x5,5,12,0.5,,,
445,89,30,1x5,5,12,0.5,,,
446,90,30,1x5,5,12,1,,,
447,90,30,1x5,5,12,1,,,
448,90,30,1x5,5,12,1,,,
449,90,30,1x5,5,12,1,,,
450,90,30,1x5,5,12,1,,,
451,91,31,1x5,5,13,0.3,,,
452,91,31,1x5,5,13,0.3,,,
453,91,31,1x5,5,13,0.3,,,
454,91,31,1x5,5,13,0.3,,,
455,91,31,1x5,5,13,0.3,,,
456,92,31,1x5,5,13,0.5,,,
457,92,31,1x5,5,13,0.5,,,
458,92,31,1x5,5,13,0.5,,,
459,92,31,1x5,5,13,0.5,,,
460,92,31,1x5,5,13,0.5,,,
461,93,31,1x5,5,13,1,,,
462,93,31,1x5,5,13,1,,,
463,93,31,1x5,5,13,1,,,
464,93,31,1x5,5,13,1,,,
465,93,31,1x5,5,13,1,,,
466,94,32,1x5,10,11,0.3,,,
467,94,32,1x5,10,11,0.3,,,
468,94,32,1x5,10,11,0.3,,,
469,94,32,1x5,10,11,0.3,,,
470,94,32,1x5,10,11,0.3,,,
471,95,32,1x5,10,11,0.5,,,
472,95,32,1x5,10,11,0.5,,,
473,95,32,1x5,10,11,0.5,,,
474,95,32,1x5,10,11,0.5,,,
475,95,32,1x5,10,11,0.5,,,
476,96,32,1x5,10,11,1,,,
477,96,32,1x5,10,11,1,,,
478,96,32,1x5,10,11,1,,,
479,96,32,1x5,10,11,1,,,
480,96,32,1x5,10,11,1,,,
481,97,33,1x5,10,12,0.3,,,
482,97,33,1x5,10,12,0.3,,,
483,97,33,1x5,10,12,0.3,,,
484,97,33,1x5,10,12,0.3,,,
485,97,33,1x5,10,12,0.3,,,
486,98,33,1x5,10,12,0.5,,,
487,98,33,1x5,10,12,0.5,,,
488,98,33,1x5,10,12,0.5,,,
489,98,33,1x5,10,12,0.5,,,
490,98,33,1x5,10,12,0.5,,,
491,99,33,1x5,10,12,1,,,
492,99,33,1x5,10,12,1,,,
493,99,33,1x5,10,12,1,,,
494,99,33,1x5,10,12,1,,,
495,99,33,1x5,10,12,1,,,
496,100,34,1x5,10,13,0.3,,,
497,100,34,1x5,10,13,0.3,,,
498,100,34,1x5,10,13,0.3,,,
499,100,34,1x5,10,13,0.3,,,
500,100,34,1x5,10,13,0.3,,,
501,101,34,1x5,10,13,0.5,,,
502,101,34,1x5,10,13,0.5,,,
503,101,34,1x5,10,13,0.5,,,
504,101,34,1x5,10,13,0.5,,,
505,101,34,1x5,10,13,0.5,,,
506,102,34,1x5,10,13,1,,,
507,102,34,1x5,10,13,1,,,
508,102,34,1x5,10,13,1,,,
509,102,34,1x5,10,13,1,,,
510,102,34,1x5,10,13,1,,,
511,103,35,1x5,50,11,0.3,,,
512,103,35,1x5,50,11,0.3,,,
513,103,35,1x5,50,11,0.3,,,
514,103,35,1x5,50,11,0.3,,,
515,103,35,1x5,50,11,0.3,,,
